Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	192.1133	-155.7386	347.8519	1.977118	0.476913	0.136473	0.194344	0.19227	0.6389472	0.1290824
6	177.5353	-167.6826	345.2179	10.77197	0.535809	0.0363478	0.0333059	0.394537	0.3071649	0.5484518
12	186.9408	-160.1176	347.0583	5.309962	0.245307	0.16332	0.112332	0.479041	0.2065659	0.4363862
18	191.7462	-157.6485	349.3947	1.165613	0.604818	0.0630547	0.267747	0.0643798	0.2328063	0.2655507
24	191.1767	-157.1739	348.3505	1.163218	0.775229	0.10422	0.0847889	0.0357626	0.665914	0.1041243
30	189.7253	-157.0257	346.751	4.518238	0.164575	0.411486	0.279022	0.144917	0.5878244	0.2119212
36	183.0924	-164.916	348.0084	3.538346	0.312781	0.423492	0.163166	0.100561	0.09112227	0.4278823
42	182.8382	-163.7847	346.623	3.709479	0.339412	0.296415	0.161342	0.202831	0.8661858	0.1444454
48	182.4317	-165.0099	347.4416	3.952766	0.301747	0.263522	0.143438	0.291293	0.3469337	0.3037453
54	184.3464	-163.2914	347.6379	4.07679	0.649987	0.118945	0.132556	0.0985117	0.1111864	0.3226258
60	193.1952	-153.9687	347.164	4.07679	0.677546	0.0815891	0.138176	0.102689	0.3477214	0.1985353
66	191.4999	-156.9384	348.4383	2.435306	0.273345	0.280665	0.25585	0.190141	0.08159671	0.2218781
72	186.1979	-162.5732	348.7711	1.994079	0.346675	0.0695156	0.120645	0.463165	0.07635336	0.2272778
78	174.8227	-171.0789	345.9016	6.932308	0.920915	0.0182427	0.0127783	0.048064	0.4183103	0.1926681
84	179.1853	-169.7388	348.9241	1.999753	0.663105	0.0116939	0.290592	0.0346085	0.05791475	0.3051143
90	179.2285	-167.5459	346.7745	5.465694	0.663071	0.0116933	0.290577	0.0346588	0.03198903	0.1741123
96	180.5417	-164.9196	345.4613	8.937243	0.639732	0.0215915	0.264213	0.0744635	0.462974	0.3077404
102	184.6089	-165.136	349.7449	0.5235454	0.299222	0.0980409	0.26462	0.338117	0.4041021	0.205701
108	174.412	-174.3007	348.7127	0.6334693	0.371225	0.0435234	0.372716	0.212535	1.023317	0.1315804
114	180.7672	-166.4715	347.2387	2.676376	0.204874	0.39055	0.336402	0.0681743	1.124392	0.2225786
120	188.3051	-161.2467	349.5517	0.6266423	0.141056	0.715649	0.0335088	0.109787	0.4819266	0.2028798
126	186.7942	-162.6852	349.4794	1.180395	0.148271	0.752256	0.0352228	0.0642507	0.2517766	0.3630505
132	185.0223	-163.5532	348.5755	2.024033	0.287463	0.196851	0.340774	0.174912	0.4720935	0.4058136
138	181.0729	-164.2585	345.3314	8.858224	0.139944	0.484583	0.320582	0.054891	0.5107707	0.2437793
144	175.8575	-167.8883	343.7458	14.65731	0.0151623	0.657128	0.120191	0.207519	0.754519	0.269941
150	172.081	-172.3581	344.4391	13.29582	0.522457	0.148759	0.309319	0.0194651	0.3118255	0.2518655
156	179.5758	-166.2134	345.7893	7.277611	0.701255	0.0803162	0.158329	0.0600999	0.4993357	0.2233256
162	186.7802	-162.7532	349.5335	1.001867	0.676108	0.077436	0.188512	0.0579447	0.1025236	0.2003312
168	182.6533	-167.1388	349.7921	0.5476346	0.69503	0.137787	0.135553	0.0316301	0.03301737	0.1314494
174	181.7047	-167.1808	348.8856	1.463956	0.617091	0.146706	0.202525	0.0336776	0.3402743	0.2078315
180	178.419	-171.0076	349.4266	0.8533954	0.573314	0.141604	0.260165	0.024917	0.1464263	0.1446596
186	177.0044	-172.1782	349.1825	1.032266	0.273946	0.622747	0.094277	0.00902927	0.1811618	0.1391448
192	173.1686	-173.6346	346.8033	5.136665	0.419191	0.102469	0.383249	0.0950912	0.4128058	0.2860015
198	179.6071	-169.1579	348.765	1.828098	0.370233	0.0900623	0.432414	0.10729	0.3577936	0.3122996
204	182.0505	-166.7425	348.793	1.975337	0.455392	0.101031	0.207433	0.236144	0.2236512	0.3185585
210	171.0535	-177.7314	348.7849	0.6930645	0.409441	0.0696908	0.259381	0.261488	0.3031134	0.06404497
216	178.4269	-169.7849	348.2118	0.8252031	0.422343	0.0273209	0.238072	0.312265	0.6681169	0.05920439
222	169.6237	-179.2247	348.8484	1.69315	0.113311	0.530719	0.0372393	0.31873	0.3948704	0.3231052
228	177.8961	-171.6606	349.5567	1.355302	0.0676431	0.619142	0.147383	0.165832	0.02734863	0.384569
234	177.8568	-171.5668	349.4236	1.22734	0.0649606	0.722646	0.141538	0.0708549	0.2008443	0.301623
240	187.1629	-160.8955	348.0584	2.716156	0.323212	0.463926	0.145328	0.0675335	0.4300894	0.3054251
246	187.0868	-160.5623	347.6491	3.622537	0.556565	0.311264	0.0541688	0.0780016	0.3129409	0.3054251
252	184.0488	-165.0857	349.1344	1.322976	0.53187	0.29649	0.00780172	0.163839	0.4083973	0.3067505
258	179.9554	-168.2706	348.2259	2.204885	0.224722	0.672455	0.0335991	0.0692239	0.6878103	0.4017485
264	177.9175	-169.676	347.5935	2.822009	0.398415	0.53253	0.0142359	0.0548197	0.4136244	0.146886
270	175.7162	-173.555	349.2711	0.9758476	0.746994	0.069165	0.156997	0.0268437	0.2031166	0.1501764
276	165.7634	-181.9821	347.7455	2.782286	0.137566	0.134505	0.620938	0.10699	0.7158601	0.3173955
282	175.9476	-173.0453	348.9929	1.143422	0.167027	0.382083	0.379295	0.0715941	0.282046	0.1430143
288	182.7376	-166.6617	349.3993	0.6453516	0.212667	0.534432	0.212654	0.0402468	0.3066353	0.128492
294	183.9382	-165.4972	349.4354	0.3504797	0.12104	0.58914	0.244911	0.0449092	0.5027063	0.1202901
300	172.4569	-176.6589	349.1158	0.05642238	0.108872	0.58158	0.211836	0.0977119	0.05277693	0.1202901
306	172.4988	-176.0667	348.5655	0.6993625	0.334909	0.244965	0.324692	0.0954336	0.893687	0.1005307
312	174.6587	-174.3177	348.9764	0.8806481	0.387303	0.362329	0.0545534	0.195815	0.8784752	0.2374651
318	171.3086	-174.1638	345.4725	5.80422	0.352406	0.0486714	0.353469	0.245453	0.9543568	0.1231686
324	173.352	-173.899	347.251	0.4277322	0.61153	0.213476	0.0350082	0.139986	1.166224	0.02302932
330	169.0319	-178.0522	347.0842	5.050847	0.243586	0.490806	0.0746827	0.190925	0.1716112	0.2880166
336	175.3957	-174.0181	349.4138	0.8685981	0.120047	0.802848	0.0121354	0.0649693	0.3881815	0.2109492
342	176.3748	-172.0858	348.4606	2.490369	0.581941	0.326246	0.0433448	0.0484678	0.1259597	0.2721264
348	178.0154	-172.3197	350.3351	0.4315357	0.222549	0.608802	0.0463356	0.122314	0.07649039	0.2890084
354	189.5325	-160.0864	349.6188	0.1131501	0.131628	0.541781	0.116491	0.2101	0.2593755	0.1437851
360	184.9515	-164.4063	349.3579	0.1131501	0.152594	0.304277	0.18556	0.357569	0.302057	0.1074991
366	181.0405	-168.1534	349.1939	0.06788656	0.198358	0.594049	0.0670239	0.140569	0.09001519	0.1094686
372	179.1065	-169.7871	348.8935	0.07350438	0.183189	0.418116	0.128723	0.269971	0.3311078	0.09273595
378	179.7253	-169.9644	349.6898	0.4924915	0.434663	0.28939	0.089093	0.186855	0.1076935	0.1176406
384	184.2191	-165.3604	349.5795	0.5034601	0.372593	0.43964	0.122798	0.0649688	0.2170745	0.1191989
390	179.825	-168.7847	348.6097	0.4938331	0.746771	0.101752	0.0284209	0.123056	0.3836411	0.04564316
396	175.1045	-172.3351	347.4395	0.4938331	0.713392	0.254634	0.0214104	0.0105638	1.242204	0.03255967
402	176.447	-170.8687	347.3157	0.7829844	0.395197	0.598494	0.00045775	0.005852	1.242204	0.03946056
408	185.1932	-161.3956	346.5888	2.082088	0.652865	0.319337	0.00024778	0.0275508	1.349738	0.07162042
414	178.6211	-171.2039	349.8249	0.683786	0.0384696	0.419922	0.415176	0.126432	0.2281	0.2337228
420	178.0859	-172.2912	350.3771	0.4875896	0.0525541	0.82574	0.0740247	0.0476811	0.1065995	0.4793418
426	166.334	-183.677	350.0109	0.5591369	0.0437071	0.224425	0.54562	0.186248	0.325452	0.3297982
432	163.0811	-184.0778	347.1589	4.355771	0.367807	0.202306	0.0121842	0.417702	0.282792	0.2221428
438	169.2058	-179.3904	348.5962	1.960044	0.795812	0.0982089	0.0107461	0.0952336	0.3513311	0.2629136
444	176.9041	-171.6134	348.5176	2.477501	0.41021	0.0419456	0.210357	0.337488	0.2260601	0.456081
450	173.1772	-175.7047	348.882	1.669923	0.405807	0.261515	0.148097	0.184582	0.3663942	0.3110264
456	177.885	-171.3381	349.2232	0.6472301	0.426221	0.268526	0.111386	0.193867	0.6329155	0.159029
462	168.3118	-179.3413	347.6531	1.376094	0.152966	0.476942	0.0428352	0.327257	1.212563	0.1103933
468	172.42	-177.1947	349.6147	1.058941	0.0454254	0.537495	0.0482736	0.368806	0.2236799	0.3503681
474	173.3157	-173.0699	346.3856	7.282977	0.69727	0.139422	0.0681523	0.0951563	0.1288538	0.3964834
480	184.4457	-165.5998	350.0454	0.251495	0.0100137	0.814791	0.100862	0.074334	0.4397841	0.2689211
486	182.2066	-167.3216	349.5283	0.3699071	0.0823095	0.823037	0.0307922	0.0638612	0.6013315	0.1599214
492	177.9534	-169.5244	347.4778	1.466765	0.361998	0.379417	0.022557	0.236028	1.194728	0.09574273
